CLT AGE,CLT CATEGORIE,SEGMENT,CLT REV MENS NET,MMM,VOLUME DES REVENUS,CREDIT CONSO,CREDIT IMMO,CLASSE DE RISQUE,PRIME_ASSURANCE
56,7000,CLASSE MOYENNE,649,1133.386,2009.628,0,11267.376,0,163.232
40,7000,CLASSE MOYENNE,1468,734.288,0,0,40673.687,0,488.306
57,7000,HAUT DE GAMME,1460,4349.063,9042.558,0,61013.442,0,1142.172
37,7000,CLASSE MOYENNE,2160,894.23,0,0,35098.288,0,285.483
47,7000,HAUT DE GAMME,6630,31392.317,115640.5104,41791.762,61871.633,0,901.406
51,7000,CLASSE MOYENNE,1870,1934.946,0,2831.208,33898.854,0,367.407
66,7000,CLASSE MOYENNE,8000,6648.849,111820.916,49386.526,17778.461,0,610.176
63,6000,CLASSE MOYENNE,2000,4675.095,1681.202,12180.667,22758.216,0,495.81
44,7000,CLASSE MOYENNE,420,3367.018,0,0,15232.335,0,238.059
52,6000,CLASSE MOYENNE,5000,48230.212,7722.497,49356.233,133577.725,0,2075.164
54,7000,CLASSE MOYENNE,60000,50974.34,33987.569,35326.825,12513.248,0,348.028
45,7000,CLASSE MOYENNE,2025,5216.427,7667.54,9038.339,11529.837,0,181.606
45,7000,CLASSE MOYENNE,1329,5280.244,16331.313,0,25847.183,0,362.894
55,7000,CLASSE MOYENNE,2814,3238.015,910.782,4248.177,6822.659,0,89.646
47,7000,HAUT DE GAMME,8400,9528.087,3710.714,0,99234.329,0,557.3
43,7000,CLASSE MOYENNE,1186,3492.486,9924.779,0,15822.052,0,185.118
51,7000,CLASSE MOYENNE,10000,14385.84,23198.083,0,32240.47,0,181.062
47,7000,HAUT DE GAMME,1600,39697.855,129.57,88060.409,38160.396,0,2155.176
51,7150,TRE,13000,2347.252,14.927,0,14333.853,0,82.128
52,7000,HAUT DE GAMME,300000,13128.841,44138.765,0,65126.873,0,365.753
39,6000,HAUT DE GAMME,3000,5103.775,20057.683,21001.806,49433.548,0,627.805
55,7000,HAUT DE GAMME,2000,8186.368,11019.294,0,119223.299,0,1487.907
40,7000,CLASSE MOYENNE,2000,16881.346,1591.765,21958.88,33021.012,0,497.355
48,7000,CLASSE MOYENNE,1830,2855.628,0,1837.882,65521.593,0,883.439
46,7150,TRE,10000,440.934,11914.19894,0,6040.811,0,80
47,7000,HAUT DE GAMME,3900,23874.87,47141.164,0,69568.99,0,651.166
47,6000,HAUT DE GAMME,5000,3843.391,8490.416,0,64042.26,0,479.548
20,7000,CLASSE MOYENNE,3035,1424.373,0,0,34496.791,1,0
49,7000,HAUT DE GAMME,4964.3,3047.569,295283.9774,0,28429.836,1,0
41,7000,CLASSE MOYENNE,5511.98,734.288,0,0,40673.687,1,0
30,7000,HAUT DE GAMME,4631.65,3506.868,1143.445,36702.557,43003.561,1,0
57,6000,CLASSE MOYENNE,5111.18,4675.095,1681.202,12180.667,22758.216,1,0
56,7000,CLASSE MOYENNE,916,1708.705,627.335,0,40242.319,0,753.336
49,7000,HAUT DE GAMME,2785,3452.004,7707.747,0,93769.236,0,897.186
61,7000,CLASSE MOYENNE,2125,7219.979,7164.508,20000,41040.893,0,807.778
60,6000,CLASSE MOYENNE,3000,3252.773,0,33929.682,19552.133,0,819.558
44,7000,HAUT DE GAMME,1886,4564.936,18103.62,0,21343.418,0,124.859
52,7000,HAUT DE GAMME,4960,6062.209,2021.815,39062.312,72365.405,0,951.37
53,7000,GRAND PUBLIC,1250,560.357,0,0,25278.965,0,378.117
54,7000,HAUT DE GAMME,2008,4133.512,0,0,91699.072,0,1173.813
41,7000,CLASSE MOYENNE,2690,3028.991,0,0,31861.979,0,191.287
55,7000,HAUT DE GAMME,3094,3004.058,145.04,18956.186,5863.22,0,227.461
42,7000,HAUT DE GAMME,6806,8655.918,83158.495,18101.301,142040.711,0,1044.467
64,6000,CLASSE MOYENNE,20000,35157.493,20547.059,23192.874,45354.108,0,564.492
53,7000,CLASSE MOYENNE,3000,3234.89,5724.616,17460.677,13715.899,0,320.618
43,7000,HAUT DE GAMME,1425.061,4483.491,0,1977.481,21728.19,0,296.325
42,7000,HAUT DE GAMME,885.787,4392.03,12822.405,0,7599.12,0,80
47,7000,HAUT DE GAMME,4000,1215.659,0,1316.089,55360.128,0,488.953
46,7000,HAUT DE GAMME,1400,3047.569,295283.9774,0,28429.836,0,399.155
67,7000,CLASSE MOYENNE,1100,1911.837,25746.908,0,5267.312,0,80
57,7000,HAUT DE GAMME,1926,5047.774,4656.306,0,34262.957,0,320.701
54,7000,HAUT DE GAMME,1,4836.208,6103.629,27604.218,31491.523,0,1329.038
50,7000,CLASSE MOYENNE,1100,2128.846,3.955,0,258.534,0,80
55,6000,CLASSE MOYENNE,2000,24819.639,19631.285,16799.105,113902.843,0,1739.967
48,7000,HAUT DE GAMME,3000,4883.778,20237.07,0,77734.371,0,727.594
47,7000,CLASSE MOYENNE,2942.6,1042.905,0,0,49551.144,1,0
47,7000,CLASSE MOYENNE,4799.98,3171.419,11186.91,0,20445.689,1,0
38,7000,HAUT DE GAMME,3092.41,4742.095,0,25351.766,74525.904,1,0
49,7000,CLASSE MOYENNE,4301.99,1820.235,5031.191,0,19852.372,1,0
70,7000,CLASSE MOYENNE,2828.48,2084.083,712.106,0,82157.304,1,0
51,7000,CLASSE MOYENNE,1,13801.685,6485.628,28989.477,223791.768,0,5011.815
30,7000,HAUT DE GAMME,2500,18395.136,5842.986,16475.493,160000,0,1903.883
54,7000,HAUT DE GAMME,10000,15641.112,19663.0414,2944.303,17864.595,0,147.034
48,7000,GRAND PUBLIC,2000,1111.249,16.579,0,32486.075,0,322.338
43,7000,HAUT DE GAMME,6000,56628.879,185923.479,0,99705.709,0,622.164
47,7000,HAUT DE GAMME,5000,22272.407,40313.8507,44866.182,515491.631,0,5773.79
43,7000,CLASSE MOYENNE,1658,2521.417,75.669,2641.626,30482.25,0,277.827
37,7000,CLASSE MOYENNE,1856,4117.269,12804.351,0,91053.692,0,946.958
37,7000,HAUT DE GAMME,5000,8368.433,6190.99,11304.945,3576.253,0,105.661
53,7000,CLASSE MOYENNE,906,2835.078,12464.338,0,3484.554,0,80
51,7000,CLASSE MOYENNE,765,4287.52,22631.79,0,1164.169,0,80
64,7000,CLASSE MOYENNE,2784,3230.885,2367.79,21140.384,11534.329,0,368.518
52,7000,CLASSE MOYENNE,836,973.257,19.712,0,14926.229,0,213.794
49,7000,HAUT DE GAMME,5000,55621.547,28234.976,50585.415,79382.77,0,1233.407
45,7000,CLASSE MOYENNE,900,1651.613,7307.724,0,29780.703,0,418.152
49,7000,CLASSE MOYENNE,1500,20401.463,14610.665,0,76947.842,0,964.043
60,7000,CLASSE MOYENNE,1273,1717.145,2943.027,8229.414,10366.198,0,384.656
27,7000,GRAND PUBLIC,2185.04,3071.713,8913.369,0,80000,1,0
55,7000,HAUT DE GAMME,2010.67,2266.721,2496.949,0,36690.281,1,0
38,7000,CLASSE MOYENNE,2246.19,1468.244,75.117,0,45498.791,1,0
53,7000,HAUT DE GAMME,1690,3531.63,771.805,0,48137.395,0,461.932
60,7000,HAUT DE GAMME,4750,2124.649,5556.797,0,36838.704,0,258.608
45,6000,GRAND PUBLIC,2000,1429.276,100.011,0,60372.302,0,572.027
40,7000,CLASSE MOYENNE,1132,1259.344,1474.432,0,27407.893,0,331.19
52,7000,CLASSE MOYENNE,15000,9084.741,64.885,21256.179,33803.896,0,365.847
68,7000,CLASSE MOYENNE,2035.37,2007.228,18.24,0,70161.79,1,0
68,7000,HAUT DE GAMME,3759.1,4349.063,9042.558,0,61013.442,1,0
57,7000,CLASSE MOYENNE,2766.15,1267.531,76.184,6450.314,23872.529,1,0
56,6000,HAUT DE GAMME,3000,164017.692,14595.522,20710.299,131935.468,0,2021.516
44,7150,TRE,2000,26833.4602,275012.059,0,4023.335,0,80
47,7000,CLASSE MOYENNE,,4416.837,25581.962,0,17852.662,0,80
59,7000,CLASSE MOYENNE,586,1144.631,170.818,0,12240.243,0,172.124
52,7000,HAUT DE GAMME,2432,4915.071,0,8114.968,66670.79,0,731.038
60,7000,CLASSE MOYENNE,1360,3689.828,11074.026,5277.08,16241.579,0,414.698
48,7000,CLASSE MOYENNE,2326,2524.845,302.089,5417.169,55101.845,0,586.74
51,7000,CLASSE MOYENNE,1726,2007.228,18.24,0,70161.79,0,904.076
40,7000,CLASSE MOYENNE,1995,3115.442,1759.179,0,81315.867,0,861.068
47,7000,CLASSE MOYENNE,1224,1046.457,1107.518,0,47727.542,0,909.95
49,7000,CLASSE MOYENNE,2488,1814.587,3372.457,0,55217.773,0,516.838
52,7000,HAUT DE GAMME,7000,35372.966,7900.614,0,18747.423,0,123.713
43,7000,CLASSE MOYENNE,1960,2127.203,17.678,0,78971.986,0,823.982
46,6000,HAUT DE GAMME,8000,4157.142,15213.3498,13462.712,146940.1,0,1301.714
56,7000,CLASSE MOYENNE,1328,1468.244,75.117,0,45498.791,0,642.417
50,7000,CLASSE MOYENNE,7000,17621.816,0,4908.37,58670.736,0,386.883
59,7000,CLASSE MOYENNE,1190,3843.77,16.653,2558.647,21410.32,0,366.076
60,7000,HAUT DE GAMME,650,9325.717,5694.966,2282.062,20027.799,0,431.188
50,7000,CLASSE MOYENNE,2017,2017.154,13.536,4067.219,74993.147,0,1019.355
54,7000,CLASSE MOYENNE,1000,2062.201,26886.87,0,24572.828,0,345.003
48,7000,CLASSE MOYENNE,1218,1820.235,5031.191,0,19852.372,0,289.689
49,7000,HAUT DE GAMME,3145,5123.992,4219.206,17336.945,73918.595,0,919.876
54,7000,CLASSE MOYENNE,2187,2553.158,45.393,5092.252,33694.746,0,382.112
40,7000,HAUT DE GAMME,4842.13,11353.086,411.913,0,102282.902,0,638.245
53,7000,CLASSE MOYENNE,1331,2421.047,0,0,25899.095,0,372.555
